"","20210326_31020935670_21R4973AZZA_03.RCC","20210326_31020935670_21R6065AZZA_02.RCC","20210326_31020935670_21R6805AZZA_09.RCC","20210326_31020935670_21R7500AZZA_04.RCC","20210326_31020935670_21R7511AZZA_01.RCC","20210326_31020935670_21R7772AZZA_05.RCC","20210326_31020935670_21R9253AZZA_07.RCC","20210326_31020935670_21R9387AZZA_08.RCC","20210623_208994081021_RN21R3425AZZAA_11.RCC","20210623_208994081021_RN21R3996AZZAB_10.RCC","20210623_208994081021_RN21R5653AZZAB_09.RCC","20210623_208994081021_RN21R6723AZZAB_01.RCC","20210623_208994081021_RN21R7618AZZAB_04.RCC","20210623_208994081021_RN21R7921AZZAA_05.RCC","20210623_208994081021_RN21R9370AZZAB_03.RCC","20210623_208994081021_RN21R9727AZZAA_08.RCC","20210623_208994081021_RN21R9918AZZCA_02.RCC","20220624_209393930622_RN21R2533AZZAA_07.RCC","20220624_209393930622_RN21R2960AZZAA_09.RCC","20220624_209393930622_RN21R2966AZZAA_12.RCC","20220624_209393930622_RN21R3890AZZAA_11.RCC","20220624_209393930622_RN21R5628AZZAA_10.RCC","20220624_209393930622_RN21R8427AZZAA_06.RCC","20220624_209393930622_RN21R9372AZZAA_08.RCC","20220727_209421330722_RN21R3807AZZAA_03.RCC","20220727_209421330722_RN21R5295AZZBA_01.RCC","20220727_209421330722_RN21R8948AZZAA_02.RCC"
"RAD51C",7.133,4.994,6.568,6.435,6.424,6.912,6.635,7.376,8.253,7.958,8.876,6.797,6.989,7.158,7.757,8.665,6.89,7.25,7.151,7.829,6.158,7.521,6.825,6.359,9.438,4.81,5.947
"RASAL1",3.602,4.292,5.616,7.649,2.379,4.768,4.592,6.247,4.363,3.832,6.924,5.484,5.517,7.321,3.918,6.896,4.192,5.144,5.414,3.981,4.609,7.106,4.106,5.664,8.116,4.81,4.89
"RASGRF1",6.726,6.802,7.291,9.537,2.839,7.715,6.112,4.984,10.134,3.237,6.859,8.902,5.725,5.86,6.273,7.186,3.934,7.058,7.529,7.466,6.23,4.82,7.302,8.647,6.99,6.717,7.861
"RB1",9.031,8.16,9.257,9.34,6.44,8.556,7.743,9.651,7.309,5.838,10.762,9.465,10.466,8.603,9.252,9.186,8.744,9.667,6.221,9.369,8.593,8.39,8.691,9.662,9.023,9.97,7.846
"RBL2",9.609,10.161,9.319,9.199,9.036,8.69,10.956,8.633,8.478,8.534,8.57,10.016,11.882,10.401,9.095,9.036,9.917,8.488,10.543,8.485,9.843,9.589,9.013,9.324,8.701,10.747,9.184
"RELA",8.47,9.036,8.089,7.641,10.332,8.442,8.773,8.277,7.749,8.693,8.422,9.086,10.041,10.107,7.623,8.567,8.899,7.729,8.038,7.839,8.761,8.95,8.373,8.871,10.039,10.202,9.087
"RELB",7.342,7.452,6.406,6.329,6.746,7.81,7.321,8.063,7.512,6.154,9.141,7.79,7.875,7.679,8.432,7.842,7.79,8.593,6.636,8.907,7.484,8.42,7.598,7.879,7.438,7.668,8.047
"RELN",4.543,2.151,5.48,5.673,7.424,3.912,1.948,4.362,3.478,0.067,5.985,3.14,3.367,2.91,2.802,6.389,7.896,4.25,3.414,2.659,3.024,3.405,2.106,3.441,5.531,3.81,3.053
"REN",2.865,2.386,2.779,2.609,2.08,2.327,3.318,4.662,2.948,2.204,5.4,4.112,3.274,4.151,4.772,3.726,2.218,4.443,2.829,3.466,5.832,5.28,3.328,3.441,4.531,4.81,5.079
"RICTOR",8.331,9.036,9.302,8.955,8.511,7.992,9.05,7.306,7.026,7.567,7.1,8.662,9.05,8.819,7.627,7.633,9.607,8.224,9.132,8.44,8.678,8.628,8.249,8.795,8.286,8.167,8.381
"RIPK1",7.717,8.352,7.419,7.425,8.931,8.436,7.635,8.961,9.131,10.331,8.704,8.511,8.344,8.926,8.315,8.516,8.04,8.827,7.851,8.068,8.74,8.049,8.82,8.277,7.531,7.764,9.101
"RIPK2",7.652,8.269,6.845,6.498,5.683,7.067,7.498,7.262,5.332,6.044,7.609,8.224,8.444,8.754,7.273,6.601,8.486,7.276,5.736,8.15,6.761,7.106,7.576,8.02,9.389,7.939,6.96
"RIPK3",6.197,6.729,4.779,3.904,5.871,6.597,6.258,7.482,8.62,4.832,8.1,6.584,7.361,7.511,6.78,7.141,6.421,7.087,7.255,7.317,6.749,6.727,6.896,6.557,5.531,6.51,7.235
"RNLS",4.766,6.711,5.686,7.268,5.83,6.869,6.895,6.247,6.392,3.745,7.685,6.154,7.851,7.043,6.326,7.351,6.768,6.144,3.414,6.273,6.785,7.798,5.691,6.886,7.618,7.132,6.223
"ROBO4",4.74,3.49,2.727,4.734,4.08,5.192,3.855,7.43,3.1,4.067,6.4,4.687,2.689,4.205,3.918,5.311,5.083,6.531,3.829,5.746,5.378,3.405,5.879,4.664,5.853,3.81,4.494
"ROCK1",8.946,7.406,7.72,7.649,7.571,8.88,8.069,9.397,7.598,6.483,8.826,7.272,8.641,7.549,8.115,7.869,7.976,8.583,8.151,8.981,7.82,6.908,8.098,7.857,6.531,8.617,7.71
"ROR2",3.482,2.97,3.926,5.278,3.871,4.649,1.685,4.832,5.1,5.687,9.422,4.963,1.689,6.357,5.427,8.118,4.732,8.397,4.829,7.034,6.82,5.82,5.328,4.795,9.231,3.81,5.355
"RORC",5.958,6.047,6.538,1.957,8.453,4.69,8.108,4.91,5.66,5.085,5.985,5.923,6.785,7.327,6.075,6.048,6.845,5.35,5.151,6.492,5.942,6.575,5.608,3.593,7.618,6.51,7.697
"RPL23",14.245,12.79,13.828,12.665,11.619,12.894,14.623,13.862,11.83,13.249,13.268,13.735,15.267,13.504,14.292,13.67,15.409,13.573,13.61,13.931,12.504,13.729,13.024,13.317,13.865,13.438,12.88
"RPL7A",12.487,11.834,12.393,12.092,12.422,11.356,14.037,12.782,10.653,11.738,12.099,12.793,13.494,12.292,12.783,12.1,14.171,12.767,11.597,13.911,11.754,13.334,11.679,12.175,13.439,13.267,12.115
"RPS6KB1",7.775,6.693,7.96,6.963,5.78,6.904,7.029,7.105,5.301,6.067,7.207,6.81,7.547,6.926,6.764,6.896,7.761,6.691,7.038,7.118,5.877,7.178,6.98,6.826,9.259,8.617,5.706
"RPTOR",7.532,6.754,7.104,8.202,8.215,8.583,5.941,8.469,8.98,8.17,9.411,6.801,6.286,7.62,8.234,8.408,6.388,7.593,9.151,8.288,8.318,8.507,9.001,8.04,8.957,8.019,7.212
"RRM2",9.138,8.68,9.258,5.258,9.191,8.826,8.432,10.843,11.583,10.277,11.307,10.131,9.376,9.656,11.289,11.384,10.335,10.855,8.597,12.066,8.857,10.424,9.622,8.272,9.145,6.269,7.116
"RSAD2",8.736,8.742,6.101,7.16,7.336,8.821,5.993,6.891,10.633,7.223,11.374,8.649,6.867,10.951,8.028,10.101,8.237,8.998,7.077,12.145,7.731,8.312,5.806,9.719,8.618,7.132,7.312
"RUNX3",4.046,5.041,3.586,2.609,5.934,5.074,2.948,6.185,6.811,5.229,5.4,6.188,5.922,4.357,5.918,5.949,3.364,5.903,6.529,4.746,5.346,6.344,6.404,5.972,7.779,8.202,5.436
"S100A12",1.766,1.523,3.879,3.056,2.467,4.164,2.363,8.232,3.585,3.675,6.4,4.054,5.557,7.533,3.61,6.533,3.268,4.443,6.288,5.566,4.247,6.344,6.608,4.915,7.531,11.659,3.053
"S100A8",5.45,5.94,8.089,8.43,7.851,8.396,8.502,16.272,4.636,4.884,13.882,8.637,10.064,14.254,8.412,9.734,8.737,10.722,9.114,8.897,8.488,10.431,10.672,11.533,10.597,13.936,8.32
"S100A9",7.554,7.987,11.581,8.69,9.614,10.483,12.866,18.223,8.763,5.445,17.168,11.502,13.858,15.78,13.062,13.241,12.296,13.62,10.652,15.534,11.058,15.384,13.864,13.133,11.701,12.83,11.805
"SAMD9",8.6,8.577,6.368,5.904,6.243,7.353,7.993,9.121,8.429,6.058,9.529,9.359,9.242,11.293,8.555,9.024,9.709,8.747,8.884,9.613,7.238,7.068,7.341,7.993,7.701,8.81,7.421
"SAMSN1",8.391,6.349,7.096,8.103,6.503,8.537,6.602,8.886,7.006,5.687,10.482,9.285,9.568,8.035,8.085,7.567,7.208,8.951,5.414,8.19,8.484,6.727,7.797,9.631,7.618,7.717,7.59
"SBNO2",8.564,9.26,7.555,7.172,8.136,8.531,10.97,10.039,8.849,8.422,9.851,7.939,9.926,8.287,9.518,8.164,8.049,9.231,8.884,9.232,9.817,11.569,9.025,8.471,6.99,8.269,9.562
"SELE",3.865,3.193,3.257,4.103,2.379,4.877,3.649,5.832,4.421,4.64,7.792,5.039,4.011,3.91,4.945,8.601,4.054,7.488,5.151,6.359,5.247,5.521,4.106,5.316,6.853,3.81,3.947
"SELL",4.766,5.349,3.616,4.507,2.467,4.649,4.721,5.306,3.363,4.767,6.487,6.516,3.952,5.308,6.148,6.141,3.317,6.35,5.288,4.829,4.102,5.521,5.947,6.441,7.923,11.767,3.638
"SELP",3.543,2.97,2.616,3.056,2.549,3.52,2.823,5.362,3.685,3.359,6.648,3.866,3.455,3.974,3.677,5.842,2.87,5.028,4.414,5.302,4.555,4.142,4.521,3.972,6.116,9.578,3.831
"SERPINA1",8.038,9.849,9.92,7.584,6.801,8.051,15.32,13.193,5.685,3.767,9.55,9.693,13.467,11.988,12.818,8.785,12.981,12.438,12.023,8.498,12.136,14.562,11.85,9.975,11.286,12.804,12.209
"SERPINB5",3.482,1.97,2.495,4.237,4.683,3.912,2.363,5.791,3.585,1.745,6.859,2.761,3.274,9.114,3.305,7.785,4.677,7.801,5.529,3.981,3.314,4.628,3.521,2.857,7.701,6.395,3.494
"SERPINH1",7.225,8.627,6,4.673,5.805,6.34,8.229,6.706,4.865,5.627,6.1,8.157,9.078,7.997,7.737,7.567,8.961,7.509,7.662,7.453,6.91,6.865,7.51,6.779,6.853,2.81,7.104
"SFRP1",4.088,3.151,7.013,5.359,2.549,5.043,3.978,6.185,4.301,5.693,6.722,3.439,3.952,4.357,3.741,7.229,3.218,6.301,4.636,4.466,4.498,5.521,4.328,6.154,8.74,5.132,3.494
"SFRP4",7.211,3.707,4.572,4.85,6.231,5.749,1.533,7.862,7.572,6.431,11.007,7.285,2.689,9.22,9.112,12.451,5.995,9.493,4.636,11.773,9.019,3.82,7.861,6.026,9.231,4.81,7.2
"SFXN1",8.613,8.776,9.272,9.652,8.562,9.12,9.783,9.523,9.639,8.999,9.389,9.003,9.13,9.463,8.472,8.741,8.652,8.783,9.391,10.301,9.283,9.727,9.507,8.647,8.957,10,8.999
"SGK1",10.541,8.323,8.381,10.251,8.515,12.019,11.827,11.021,7.917,8.316,9.141,10.031,10.934,9.011,10.284,10.389,8.629,11.762,9.414,11.229,10.7,12.79,10.311,11.915,9.508,8.202,9.245
"SH2D1A",3.713,3.386,2.727,3.609,3.508,4.607,1.823,5.706,2.948,5.137,7.354,6.076,3.952,4.495,5.539,6.896,3.111,5.613,4.636,6.492,5.609,6.865,5.106,5.401,8.618,7.395,5.55
"SHC2",9.026,8.162,6.949,8.239,7.215,8.886,6.971,8.822,6.61,7.124,9.868,5.706,5.2,7.251,5.407,7.048,6.686,8.116,9.968,5.944,5.785,8.562,9.838,6.079,5.116,6.132,6.73
"SIGLEC1",6.505,5.858,3.805,4.194,5.987,6.904,3.823,6.443,7.347,4.539,10.493,7.836,7.567,8.02,7.212,7.499,5.124,8.835,4.151,8.613,6.636,5.142,6.276,9.981,5.531,7.058,7.47
"SIGLEC5",4.713,3.234,3.294,4.397,2.467,4.22,3.533,5.469,3.478,4.315,4.4,4.417,4.615,3.974,4.945,5.601,3.696,5.144,6.077,4.566,3.942,6.575,4.913,6.154,8.531,8.269,4.291
"SIGLEC8",4.206,2.151,2.616,4.507,2.08,3.52,1.685,3.832,2.778,2.204,5.57,5.14,2.174,3.698,2.539,4.949,2.658,3.443,3.414,2.659,4.176,3.82,2.106,3.731,4.531,3.81,2.053
"SIRPA",7.703,5.349,8.831,10.329,4.754,7.486,6.974,6.39,3.363,2.699,6.4,9.082,9.34,7.321,6.795,6.726,7.155,7.691,6.151,6.331,6.7,6.142,7.608,9.668,8.175,7.51,6.586
"SIRPB2",5.351,4.507,3.398,4.194,3.665,5.946,5.105,6.362,4.532,4.171,7.307,6.982,5.707,7.245,5.367,5.949,4.341,6.801,4.151,4.981,5.498,5.908,6.879,6.763,8.231,6.132,5.436
"SLAMF7",6.482,3.523,1.972,1.149,3.379,2.69,2.171,4.247,5.026,3.789,5.4,5.668,3.827,5.258,3.918,5.311,0.995,4.613,6.077,6.681,5.247,4.99,3.843,4.178,7.531,5.395,6.301
"SLC11A1",8.123,5.958,5.557,7.144,5.456,8.298,5.871,8.706,7.293,3.894,11.565,6.895,8.646,8.274,8.005,7.949,7.107,8.911,6.077,7.288,8.314,8.678,8.802,10.5,7.853,10.194,7.831
"SLC16A1",5.333,4.086,5.817,7.684,5.498,6.833,4.721,6.185,3.948,5.506,6.924,8.714,6.759,8.698,6.53,6.842,9.35,8.465,6.736,5.517,6.7,7.99,6.302,8.93,8.66,6.897,5.706
"SLC1A5",9.687,8.68,9.922,5.489,11.475,7.782,10.189,7.403,8.696,10.442,8.207,10.343,11.184,10.546,8.507,9.417,10.632,8.919,8.968,9.27,8.626,9.854,8.792,8.354,9.145,7.854,9.865
"SLC2A1",5.368,3.871,5.949,6.289,6.231,6.403,5.022,7.201,6.17,6.021,6.487,5.516,5.344,6.258,5.986,6.726,6.524,6.488,7.221,7.102,6.004,7.375,5.428,6.731,9.531,5.395,6.312
"SLC7A5",7.466,8.134,7.672,7.87,8.863,8.171,7.825,8.938,5.063,8.411,8.609,8.692,6.698,7.938,6.868,7.567,7.87,8.043,6.636,8.158,7.306,7.703,7.887,8.092,8.888,6.897,6.762
"SMAD5",9.522,9.308,8.722,7.786,8.514,7.474,10.139,7.376,6.237,7.858,7.444,8.346,8.995,8.856,7.294,7.842,8.503,7.672,7.584,6.44,7.761,7.865,7.896,7.214,7.923,7.269,7.651
"SMAP1",7.871,9.792,9.061,10.005,9.388,8.789,9.007,8.933,8.873,8.233,8.809,8.861,8.54,8.856,8.717,8.726,8.827,9.072,8.674,9.892,9.663,8.213,8.764,9.591,9.116,9,9.019
"SNAI1",5.262,4.193,4.347,5.237,3.839,6.777,3.573,8.306,5.907,5.276,8.758,5.84,4.496,6.109,6.172,8.617,6.256,7.198,6.151,6.44,5.737,6.82,5.521,6.461,8.74,6.897,5.223
"SNCA",5.924,3.922,9.586,11.298,4.994,9.146,4.63,7.105,3.865,3.445,7.859,8.663,6.389,4.974,5.575,6.229,5.59,8.432,5.736,6.273,4.712,5.405,8.532,8.93,7.99,14.525,5.586
"SOCS1",7.717,7.018,4.753,4.278,4.754,4.805,4.806,7.105,3.865,3.745,7.207,6.399,7.401,6.035,5.305,6.229,5.305,5.903,5.829,4.359,6.623,7.178,5.165,4.857,7.338,6.269,5.638
"SOX10",4.513,1.871,7.236,9.825,3.508,8.591,3.171,4.832,3.237,3.359,6.859,9.588,2.689,3.45,3.387,5.141,6.172,8.116,3.829,3.466,3.855,5.405,3.328,10.325,7.701,4.81,2.053
"SOX11",5.401,2.587,7.305,4.575,8.882,4.649,3.363,5.121,3.685,4.359,6.792,3.346,3.689,3.538,3.305,7.567,3.87,5.531,6.414,4.359,3.555,6.28,6.136,4.272,8.74,3.81,2.947
"SOX2",7.841,7.783,8.583,10.418,10.324,11.288,3.363,10.05,4.778,11.166,10.717,8.412,2.952,3.843,9.395,10.711,5.529,10.468,6.783,8.824,6.725,7.865,9.296,9.257,8.054,2.81,2.053
"SPIB",3.912,3.151,2.879,3.85,2.627,4.607,3.451,6.495,3.585,3.789,6.307,3.899,1.689,3.698,3.918,5.601,1.87,5.028,5.829,4.659,4.024,6.521,4.328,4.972,8.054,9.51,2.947
"SPP1",13.292,12.014,11.822,12.786,12.867,14.617,12.31,13.741,12.052,8.179,14.488,14.23,15.818,12.942,16.031,13.588,12.479,13.827,12.275,13.779,13.157,13.311,12.42,16.881,12.023,9.764,11.755
"SPRY4",8.499,7.711,7.049,7.086,8.046,8.043,9.617,8.817,8.225,8.945,7.1,8.687,8.339,8.873,7.836,7.633,7.382,7.747,10.251,7.577,9.199,8.918,8.943,6.272,7.701,6.269,8.018
"SREBF1",9.268,9.725,10.178,10.614,10.848,11.287,9.51,9.607,10.471,10.986,10.295,10.233,11.812,10.503,9.741,10.13,9.028,9.765,9.889,9.932,11.848,10.766,9.755,11.003,7.701,9.68,10.729
"SRP54",8.783,8.74,8.683,8.188,9.469,7.996,9.705,7.749,8.058,7.649,8.207,9.297,8.961,8.694,8.018,7.974,9.066,7.951,8.851,9.523,7.984,7.405,7.532,8.62,9.175,6.51,8.15
"STAT1",9.41,10.129,8.656,7.641,8.828,9.712,8.596,8.284,8.502,9.187,9.775,11.295,9.597,10.555,8.928,9.792,10.573,9.397,8.61,9.727,8.555,8.344,8.922,9.299,10.145,11.995,8.953
"STAT2",10.241,10.429,8.971,9.741,9.337,11.453,9.134,11.183,11.849,10.515,13.041,10.462,9.803,10.762,10.521,11.705,9.484,11.293,9.59,11.385,10.316,10.612,10.588,10.759,8.74,9.68,10.348
"STAT3",11.02,11.342,11.061,9.881,10.667,9.041,11.086,9.08,7.696,9.224,8.283,10.5,11.6,11.114,10.065,9.408,10.513,9.005,10.043,8.244,10.532,9.602,9.9,10.143,10.203,9.538,10.395
"STAT4",7.588,6.349,6.127,7.314,5.488,8.514,5.196,7.532,7.4,7.093,9.56,7.16,6.974,7.456,7.148,8.207,5.317,7.967,6.687,7.102,7.064,7.908,7.262,6.714,7.701,11.475,6.494
"STC1",4.351,4.75,4.48,3.056,6.322,4.378,9.123,5.185,4.1,4.049,5.4,6.584,6.2,5.64,4.918,6.665,5.696,5.443,6.288,5.302,5.555,5.99,5.65,5.593,7.701,5.617,6.153
"SYK",8.294,7.633,7.377,7.324,6.193,8.227,7.177,9.076,8.977,5.646,10.56,9.056,9.811,8.035,9.106,8.987,6.299,9.313,6.958,9.902,8.613,9.405,8.576,10.216,8.923,10.01,8.52
"TAF3",4.602,3.618,4.83,5.126,4.608,5.012,4.451,4.569,4.17,4.905,6.1,5.112,5.011,5.123,4.61,6.533,3.803,5.443,5.414,4.359,4.024,5.142,4.608,4.857,7.338,9.019,3.947
"TAP1",8.654,9.305,6.943,7.144,8.706,7.34,6.839,7.185,7.237,6.483,7.758,9.517,8.755,9.267,7.705,7.756,8.148,8.853,6.473,9.811,8.044,7.493,7.416,9.172,6.853,9.236,9.107
"TAP2",7.877,7.18,6.48,6.592,7.508,7.067,6.738,7.306,8.117,7.372,8.155,9.127,9.093,9.383,7.935,8.785,8.308,8.943,6.999,8.848,7.185,7.865,7.06,7.779,8.338,8.425,7.391
"TAPBP",11.205,11.22,9.52,9.294,10.534,9.934,10.483,9.681,9.812,10.31,9.749,10.855,11.103,10.498,10.669,9.842,10.44,11.531,9.59,11.254,10.905,10.45,10.037,10.305,9.597,10.395,11.098
"TAPBPL",8.738,6.633,7.696,7.215,7.559,8.607,7.98,8.723,9.385,8.439,8.908,8.707,9.038,9.21,8.735,8.696,8.935,8.853,9.436,8.259,8.382,9.375,8.348,8.332,8.957,8.365,8.677
"TBX21",3.28,2.234,1.779,3.397,2.08,3.52,2.27,5.362,3.363,5.26,6.985,3.083,3.174,3.357,3.124,6.533,2.658,4.613,6.221,3.829,3.439,6.28,4.221,4.664,9.175,8.538,3.706
"TBXAS1",8.509,5.611,6.958,7.757,6.127,8.35,6.413,10.534,6.897,7.646,9.876,9.363,9.299,8.219,9.254,7.814,7.388,10.13,7.321,8.714,8.439,7.464,8.614,10.128,6.338,8.668,7.857
"TCF3",8.671,7.319,7.433,6.995,8.354,8.199,7.477,8.232,8.14,8.633,8.466,8.279,7.684,8.413,7.701,7.896,7.743,8.198,9.142,8.288,8.358,8.195,8.666,7.638,8.389,7.668,8.515
"TCL1A",3.28,1.764,1.779,3.319,2.627,3.105,2.451,4.662,1.778,1.445,4.985,3.14,3.537,3.035,3.61,3.141,1.41,4.613,4.151,3.659,1.439,3.405,2.843,4.441,5.116,9.764,2.706
"TDO2",5.108,5.958,2.495,6.172,3.237,6.971,4.738,8.984,5.301,4.359,9.962,5.891,5.742,7.786,7.986,6.665,5.444,10.803,4.636,8.63,6.855,4.99,7.939,5.826,6.338,4.395,5.532
"TGFB1",10.755,8.14,7.586,9.294,6.994,11.359,7.573,12.472,8.992,9.243,11.782,10.003,9.802,10.187,11.802,13.09,10.148,12.929,11.142,12.452,9.392,9.763,10.957,11.126,9.531,14.196,9.947
"TGFB2",9.602,8.197,8.252,8.753,5.023,7.346,6.802,6.154,4.532,4.811,7.859,7.291,7.406,5.79,5.932,7.533,6.172,8.861,6.288,5.788,6.083,3.82,5.608,6.178,5.853,5.617,5.177
"TGFB3",6.713,6.162,4.817,7.753,9.109,8.796,4.871,11.391,7.016,7.457,10.605,6.801,3.455,7.087,9.068,11.944,8.006,10.211,6.999,9.517,8.719,7.751,9.584,7.841,9.76,7.395,9.101
"TGFBR1",9.543,8.218,9.191,8.993,9.204,7.782,8.756,8.919,5.204,6.894,7.155,8.902,9.95,7.881,8.189,8.291,8.874,9.686,7.038,6.788,7.378,7.03,7.834,9.677,8.66,7.854,7.75
"TGFBR2",8.56,7.85,7.203,7.263,7.475,7.301,9.405,7.832,6.378,6.506,7.487,9.264,10.468,9.304,7.956,7.463,8.917,9.005,8.429,8.166,9.062,7.375,8.15,9.505,7.116,10.159,8.552
"THBD",4.513,4.367,3.142,2.609,3.627,6.575,2.823,6.929,7.958,5.093,8.59,5.112,6.333,5.877,6.446,8.164,5.649,7.982,6.352,6.15,6.809,7.178,6.106,9.063,8.701,5.132,5.831
"THBS1",12.138,8.071,8.251,6.771,7.957,9.963,8.826,8.744,9.436,7.838,11.433,9.767,9.137,10.768,9.578,10.842,10.497,11.239,9.28,10.455,9.763,5.727,12.697,9.928,9.023,11.486,8.793
"THY1",8.977,8.072,9.898,11.868,8.345,8.729,7.413,9.545,6.532,8.362,10.859,8.66,6.689,8.916,8.449,11.514,10.439,10.536,6.414,10.322,10.208,7.247,10.338,8.31,7.618,6.269,8.879
"TICAM1",6.49,6.006,5.456,5.453,4.107,4.946,6.667,4.832,3.363,4.345,5.57,5.734,6.455,6.736,5.407,4.949,5.41,6.144,5.829,6.659,5.662,5.628,5.806,6.575,7.231,5.395,6.456
"TIE1",6.289,4.292,4.48,6.092,5.772,6.895,5.43,10.333,5.363,6.988,7.792,5.939,5.095,6.08,6.112,8.427,6.388,8.886,5.999,8.273,7.589,5.628,7.341,5.795,8.389,4.81,6.355
"TIGIT",3.128,3.736,2.294,2.734,2.839,4.842,0.948,5.871,3.948,4.137,6.57,5.971,4.577,5.698,5.741,5.842,2.87,6.488,4.636,7.166,5.498,5.521,6.165,5.857,7.531,5.617,6.066
"TLR1",7.569,5.792,6.142,6.524,5.121,6.639,5.871,6.812,4.026,4.843,6.985,8.214,9.142,7.585,6.693,6.842,7.595,8.643,5.529,6.868,5.687,7.03,7.289,9.237,7.231,8.019,5.604
"TLR2",9.773,8.484,6.381,7.554,7.209,9.002,10.252,9.52,8.344,7.529,10.643,9.215,11.81,11.02,10.304,9.084,7.323,9.628,7.61,8.967,10,9.897,8.755,10.01,8.701,8.425,9.373
"TLR3",8.924,7.052,6.564,6.126,4.772,7.067,8.26,8.247,7.212,7.471,8.307,8.358,9.004,10.171,7.681,7.665,8.357,8.326,6.873,9.251,6.378,7.405,6.806,6.316,6.531,3.81,5.77
"TLR4",8.62,6.997,7.406,9.194,7.48,10.262,7.148,9.563,6.492,7.093,9.629,9.545,9.453,8.952,8.691,8.118,7.41,10.468,6.736,9.342,8.7,7.727,9.113,10.396,9.575,7.51,8.085
